stop_no,stop_id,orig_stop_id,stop_name,stop_desc,stop_pnrtype,stop_used,stop_usedFG,stop_lat,stop_lon
      8186,74958     ,TLSBWD-  76              ,NW 200TH ST & 2ND AVE NW                ,                                        , 0, 1, 0,   47.774220, -122.359406
      8187,74960     ,TLSBWD-  76              ,3RD AVE NW & NW 200TH ST                ,                                        , 0, 1, 0,   47.773834, -122.361359
      8188,74970     ,TLSBWD-  76              ,3RD AVE NW & NW 198TH ST                ,                                        , 0, 1, 0,   47.772354, -122.361343
      8189,74980     ,TLSBWD-  76              ,3RD AVE NW & NW 195TH ST                ,                                        , 0, 1, 0,   47.770096, -122.361313
      8190,74990     ,TLSBWD-  76              ,3RD AVE NW & NW 191ST ST                ,                                        , 0, 1, 0,   47.766975, -122.361313
      8191,75000     ,TLSBWD-  76              ,NW RICHMOND BEACH RD & 8TH AVE NW       ,                                        , 0, 1, 0,   47.765045, -122.365677
      8192,75005     ,TLSBWD-  76              ,NW RICHMOND BEACH RD & 3RD AVE NW       ,                                        , 0, 1, 0,   47.764999, -122.361519
      8193,75007     ,TLSBWD-  76              ,NW RICHMOND BEACH RD & 1ST AVE NW       ,                                        , 0, 1, 0,   47.764984, -122.359375
      8194,75020     ,TLSBWD-  76              ,DAYTON AVE N & N 185TH ST               ,                                        , 0, 1, 0,   47.763245, -122.355644
      8195,75030     ,TLSBWD-  76              ,DAYTON AVE N & N 183RD ST               ,                                        , 0, 1, 0,   47.761868, -122.355057
      8196,75050     ,TLSBWD-  76              ,DAYTON AVE N & N 179TH PL               ,                                        , 0, 1, 0,   47.758766, -122.354530
      8197,75060     ,TLSBWD-  76              ,DAYTON AVE N & ST. LUKE PL N            ,                                        , 0, 1, 0,   47.756874, -122.353188
      8198,75070     ,TLSBWD-  76              ,DAYTON AVE N & N 172ND ST               ,                                        , 0, 0, 0,   47.753975, -122.353363
      8199,75080     ,TLSBWD-  76              ,DAYTON AVE N & N 169TH ST               ,                                        , 0, 0, 0,   47.751827, -122.354401
      8200,75082     ,TLSBWD-  76              ,DAYTON AVE N & CARLYLE HALL RD N        ,                                        , 0, 0, 0,   47.749657, -122.354691
