trip_no,trip_id,orig_trip_id,route_no,route_id,orig_route_id,route_short_name,route_long_name,route_desc,route_type,route_used,begin_time,end_time,mileage
         1,MADSC-EB  ,MADSC-EB                        236,100340A   ,100340A                  ,98A                                     ,                                        ,Madison Street Streetcar                , 0, 0, 9999.9902,-9999.9902,    0.0000
       136,21730930  ,21730930                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 2350.1167, 2400.6667,    9.3538
       137,21730935  ,21730935                          9,100132    ,100132                   ,24                                      ,                                        ,Magnolia via W Government Wy            , 3, 0, 9999.9902,-9999.9902,    0.0000
       138,21600782  ,21600782                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 2432.7168, 2466.0500,    6.6427
       139,21600787  ,21600787                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 2374.7500, 2398.0500,    4.9409
       140,21600816  ,21600816                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 2503.0667, 2543.8000,    7.4614
       141,21759797  ,21759797                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 2543.8000, 2563.1667,    5.2421
       142,21767777  ,21767777                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 2332.5166, 2373.8999,    8.1226
       143,21382071  ,21382071                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 2361.7168, 2410.9333,   10.9814
       144,21382000  ,21382000                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 2416.7168, 2464.9333,   10.9814
       145,21381998  ,21381998                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 2541.6333, 2559.9668,    5.6136
       146,21382005  ,21382005                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 2318.7500, 2341.9500,    5.6136
       147,21382014  ,21382014                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       148,21382030  ,21382030                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       149,21382259  ,21382259                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 2354.9333, 2397.7666,    8.7081
       150,21382267  ,21382267                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       151,21382291  ,21382291                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       152,21600799  ,21600799                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       153,21600867  ,21600867                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       154,21759770  ,21759770                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 9999.9902,-9999.9902,    0.0000
       155,21759772  ,21759772                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 9999.9902,-9999.9902,    0.0000
       156,21759779  ,21759779                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 2397.7666, 2446.0166,   11.2712
       157,21759787  ,21759787                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 9999.9902,-9999.9902,    0.0000
       158,21767742  ,21767742                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 2484.4500, 2540.9333,   13.5267
       159,21767752  ,21767752                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 2304.2334, 2306.6333,    0.3467
       160,21767761  ,21767761                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 2035.2334, 2037.6333,    0.3467
       161,21767797  ,21767797                         56,100030    ,100030                   ,131                                     ,                                        ,Normandy Park                           , 3, 0, 1782.2334, 1784.6333,    0.3467
       162,21767802  ,21767802                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 1578.2334, 1580.6333,    0.3467
       163,21382001  ,21382001                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 2405.7168, 2453.9333,   10.9814
       164,21600841  ,21600841                        127,100151    ,100151                   ,26                                      ,                                        ,Latona                                  , 3, 0, 9999.9902,-9999.9902,    0.0000
       165,21382010  ,21382010                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       166,21382019  ,21382019                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       167,21382035  ,21382035                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       168,21382272  ,21382272                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       169,21382281  ,21382281                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
       170,21759754  ,21759754                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 9999.9902,-9999.9902,    0.0000
       171,21759764  ,21759764                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 9999.9902,-9999.9902,    0.0000
       172,21767733  ,21767733                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 1638.2334, 1640.6333,    0.3467
       173,21767757  ,21767757                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 2155.2334, 2157.6333,    0.3467
       174,21767766  ,21767766                        180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 0, 1887.2334, 1889.6333,    0.3467
       175,21381994  ,21381994                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 2421.0500, 2448.9668,    5.6136
       176,21382009  ,21382009                         75,100169    ,100169                   ,28                                      ,                                        ,Broadview                               , 3, 0, 9999.9902,-9999.9902,    0.0000
