stop_no,stop_id,orig_stop_id,stop_name,stop_desc,stop_pnrtype,stop_used,stop_usedFG,stop_lat,stop_lon
       170,400       ,TLSBWD-  76              ,3RD AVE & BELL ST                       ,                                        , 0, 1, 0,   47.614445, -122.344513
       171,420       ,TLSBWD-  76              ,3RD AVE & VIRGINIA ST                   ,                                        , 0, 1, 0,   47.612373, -122.341019
       172,430       ,TLSBWD-  76              ,3RD AVE & PINE ST                       ,                                        , 0, 1, 0,   47.610970, -122.339050
       173,431       ,TLSBWD-  76              ,3RD AVE & PIKE ST                       ,                                        , 0, 1, 0,   47.609791, -122.337959
       174,450       ,TLSBWD-  76              ,3RD AVE & UNION ST                      ,                                        , 0, 1, 0,   47.608250, -122.336548
       175,455       ,TLSBWD-  76              ,UNIVERSITY STREET                       ,                                        , 0, 1, 0,   47.607246, -122.335754
       176,99455     ,TLSBWD-  76              ,UNIVERSITY STREET                       ,                                        , 0, 1, 1,   47.607246, -122.335754
       177,456       ,TLSBWD-  76              ,UNIVERSITY STREET                       ,                                        , 0, 1, 0,   47.607609, -122.336082
       178,468       ,TLSBWD-  76              ,3RD AVE & SENECA ST                     ,                                        , 0, 1, 0,   47.606503, -122.334938
       179,480       ,TLSBWD-  76              ,3RD AVE & MARION ST                     ,                                        , 0, 1, 0,   47.604996, -122.333572
       180,482       ,TLSBWD-  76              ,COLUMBIA ST & 2ND AVE                   ,                                        , 0, 1, 0,   47.603806, -122.333847
       181,490       ,TLSBWD-  76              ,3RD AVE & COLUMBIA ST                   ,                                        , 0, 1, 0,   47.603794, -122.332466
       182,500       ,TLSBWD-  76              ,3RD AVE & JAMES ST                      ,                                        , 0, 1, 0,   47.602234, -122.331047
       183,501       ,TLSBWD-  76              ,PIONEER SQUARE                          ,                                        , 0, 1, 0,   47.602139, -122.331055
       184,99501     ,TLSBWD-  76              ,PIONEER SQUARE                          ,                                        , 0, 1, 1,   47.602139, -122.331055
       185,502       ,TLSBWD-  76              ,PIONEER SQUARE                          ,                                        , 0, 1, 0,   47.602608, -122.331497
       186,515       ,TLSBWD-  76              ,3RD AVE S & S MAIN ST                   ,                                        , 0, 1, 0,   47.600239, -122.330376
       187,531       ,TLSBWD-  76              ,3RD AVE & JAMES ST                      ,                                        , 0, 1, 0,   47.602642, -122.331184
       188,532       ,TLSBWD-  76              ,PIONEER SQUARE                          ,                                        , 0, 1, 0,   47.603199, -122.331581
       189,99532     ,TLSBWD-  76              ,PIONEER SQUARE                          ,                                        , 0, 1, 1,   47.603199, -122.331581
       190,533       ,TLSBWD-  76              ,PIONEER SQUARE                          ,                                        , 0, 1, 0,   47.602581, -122.331017
       191,538       ,TLSBWD-  76              ,3RD AVE & COLUMBIA ST                   ,                                        , 0, 1, 0,   47.604191, -122.332588
       192,548       ,TLSBWD-  76              ,3RD AVE & MADISON ST                    ,                                        , 0, 1, 0,   47.605541, -122.333832
