route_no,route_id,orig_route_id,route_short_name,route_long_name,route_desc,route_type,route_used
       159,100081    ,100081                   ,19                                      ,                                        ,Magnolia                                , 3, 1
       160,100210    ,100210                   ,36                                      ,                                        ,Jefferson Park/Rainier Beach            , 3, 1
       161,100061    ,100061                   ,169                                     ,                                        ,Renton to Kent Via Benson               , 3, 1
       162,100095    ,100095                   ,204                                     ,                                        ,Island Crest Wy/S Mercer Shuttle        , 3, 1
       163,100093    ,100093                   ,202                                     ,                                        ,Mercer Island                           , 3, 0
       164,100096    ,100096                   ,205                                     ,                                        ,Mercer Island/U district                , 3, 1
       165,100253    ,100253                   ,64                                      ,                                        ,Lake City - CBD - First Hill            , 3, 0
       166,100139    ,100139                   ,249                                     ,                                        ,Bellevue/Overlake/Redmond               , 3, 1
       167,100148    ,100148                   ,257                                     ,                                        ,Seattle/Juanita/Kingsgate               , 3, 0
       168,100187    ,100187                   ,312                                     ,                                        ,Woodinville/Bothell Express route       , 3, 1
       169,100113    ,100113                   ,221                                     ,                                        ,Eastgate\Redmond                        , 3, 1
       170,100050    ,100050                   ,155                                     ,                                        ,FAIRWOOD TO SOUTHCENTER                 , 3, 1
       171,100448    ,100448                   ,248                                     ,                                        ,Redmond-Kirkland                        , 3, 1
       172,100215    ,100215                   ,373                                     ,                                        ,Aurora Village - University District    , 3, 1
       173,100182    ,100182                   ,308                                     ,                                        ,Aurora Village Via Lake Forest Park     , 3, 0
       174,100013    ,100013                   ,114                                     ,                                        ,Renton Highlands to C.D.B. Via I-405 & I, 3, 0
       175,100289    ,100289                   ,9                                       ,                                        ,broadway  /  rainier                    , 3, 1
       176,100252    ,100252                   ,62                                      ,                                        ,SODO-Ballard Reverse Peak               , 3, 1
       177,100014    ,100014                   ,116                                     ,                                        ,Fauntleroy Ferry Dock ONLY              , 3, 1
       178,100074    ,100074                   ,183                                     ,                                        ,Kent/Federal Way Shuttle                , 3, 1
       179,100012    ,100012                   ,113                                     ,                                        ,Shorewood  White Center  CBD via SR509  , 3, 1
       180,100031    ,100031                   ,132                                     ,                                        ,Des Moines                              , 3, 1
       181,100159    ,100159                   ,268                                     ,                                        ,Seattle/Bear Creek                      , 3, 0
       182,100259    ,100259                   ,67                                      ,                                        ,Northgate to UW Campus thru Roosevelt   , 3, 1
       183,100016    ,100016                   ,118                                     ,                                        ,Vashon Is--Tahlequah/Burton             , 3, 1
       184,100227    ,100227                   ,47                                      ,                                        ,Summit                                  , 3, 1
       185,100204    ,100204                   ,347                                     ,                                        ,NTC - Mountlake Terrace                 , 3, 1
       186,100207    ,100207                   ,355                                     ,                                        ,Shoreline Comm Coll/Greenwood           , 3, 1
       187,100208    ,100208                   ,358                                     ,                                        ,Aurora Express                          , 3, 1
       188,100168    ,100168                   ,277                                     ,                                        ,Totem Lake/U Dist.                      , 3, 1
       189,100202    ,100202                   ,345                                     ,                                        ,NTC - SCC                               , 3, 1
       190,100235    ,100235                   ,540                                     ,                                        ,Kirkland U District                     , 3, 1
       191,100451    ,100451                   ,556                                     ,                                        ,Issaquah/UW/NTC                         , 3, 1
       192,100232    ,100232                   ,522                                     ,                                        ,ST 522 Woodinville-Seattle CBD          , 3, 1
       193,100511    ,100511                   ,542                                     ,                                        ,Redmond U District                      , 3, 1
       194,100236    ,100236                   ,545                                     ,                                        ,Redmond to CBD Express for Sound Transit, 3, 1
       195,100240    ,100240                   ,554                                     ,                                        ,ST Issaquah - CBD                       , 3, 1
       196,100243    ,100243                   ,560                                     ,                                        ,Bellevue - West Seattle                 , 3, 1
       197,100239    ,100239                   ,550                                     ,                                        ,Bellevue                                , 3, 1
       198,100241    ,100241                   ,555                                     ,                                        ,Issaquah/NTC                            , 3, 1
       199,100293    ,100293                   ,908                                     ,                                        ,Renton Highlands DART                   , 3, 1
       200,100296    ,100296                   ,913                                     ,                                        ,Kent - Riverview                        , 3, 0
       201,100481    ,100481                   ,775                                     ,                                        ,Water Taxi shuttle Alki loop            , 3, 1
