stop_id,stop_name,stop_desc,stop_lat,stop_lon
"2880","MADRONA DR & E OLIVE ST","", 47.616684,-122.284500
"2890","MADRONA DR & MADRONA PL E","", 47.618347,-122.285255
"2900","E DENNY WAY & E FLORENCE CT","", 47.618359,-122.288643
"2910","34TH AVE & E HOWELL ST","", 47.617393,-122.289284
"2911","34TH AVE & E OLIVE ST","", 47.616302,-122.289314
"2920","34TH AVE & E PINE ST","", 47.614986,-122.289352
"2930","34TH AVE & E UNION ST","", 47.613014,-122.289406
"2940","E UNION ST & 33RD AVE","", 47.612972,-122.290802
"2950","E UNION ST & 31ST AVE","", 47.613003,-122.292915
"2960","E UNION ST & 29TH AVE","", 47.613022,-122.295296
"2970","E UNION ST & 27TH AVE","", 47.613003,-122.297821
"2980","E UNION ST & 25TH AVE","", 47.613007,-122.300461
"2995","E UNION ST & 23RD AVE","", 47.613007,-122.303001
"3000","E UNION ST & 20TH AVE","", 47.612980,-122.306168
"3010","E UNION ST & 18TH AVE","", 47.612972,-122.309349
"3020","E UNION ST & 16TH AVE","", 47.612972,-122.311920
"3030","E UNION ST & 14TH AVE","", 47.612988,-122.314423
"3031","E UNION ST & 12TH AVE","", 47.612980,-122.317101
"3032","E UNION ST & BROADWAY","", 47.613018,-122.320610
"3033","SENECA ST & HARVARD AVE","", 47.612614,-122.322342
"3034","SENECA ST & SUMMIT AVE","", 47.611629,-122.324570
"3035","SENECA ST & BOREN AVE","", 47.610935,-122.326233
"3036","SENECA ST & TERRY AVE","", 47.610241,-122.327904
"3037","SENECA ST & 8TH AVE","", 47.609291,-122.330185
"3150","SENECA ST & 8TH AVE","", 47.609211,-122.329994
"3151","SENECA ST & 9TH AVE","", 47.609905,-122.328323
"3152","SENECA ST & BOREN AVE","", 47.610817,-122.326126
"3153","SENECA ST & SUMMIT AVE","", 47.611763,-122.323883
"3154","SENECA ST & BOYLSTON AVE","", 47.612221,-122.322777
"3155","E UNION ST & BROADWAY","", 47.612885,-122.320389
"3156","E MADISON ST & 12TH AVE","", 47.612480,-122.317429
"3160","E UNION ST & 13TH AVE","", 47.612839,-122.315636
"3170","E UNION ST & 14TH AVE","", 47.612846,-122.313751
"3180","E UNION ST & 16TH AVE","", 47.612839,-122.311592
"3190","E UNION ST & 18TH AVE","", 47.612839,-122.309021
"3200","E UNION ST & 20TH AVE","", 47.612839,-122.306412
"3210","E UNION ST & 23RD AVE","", 47.612881,-122.301949
"3220","E UNION ST & 26TH AVE","", 47.612862,-122.298477
"3230","E UNION ST & MARTIN L KING JR WAY","", 47.612885,-122.295654
"3240","E UNION ST & 30TH AVE","", 47.612873,-122.293755
"3250","E UNION ST & 32ND AVE","", 47.612846,-122.291183
"3271","34TH AVE & E OLIVE ST","", 47.616692,-122.289108
"3280","34TH AVE & E HOWELL ST","", 47.617558,-122.289078
"3293","34TH AVE & E PIKE ST","", 47.614071,-122.289177
"3300","MADRONA DR & 38TH AVE","", 47.618149,-122.285156
"3310","MADRONA DR & E OLIVE ST","", 47.616528,-122.284706
"3320","MADRONA DR & E PINE ST","", 47.615013,-122.283859
"3330","MADRONA DR & NEWPORT WAY","", 47.613495,-122.282700
"3380","BEACON AVE S & S COLUMBIAN WAY","", 47.559223,-122.304161
"3400","BEACON AVE S & VA HOSPITAL","", 47.563469,-122.305489
"3410","BEACON AVE S & JEFF GOLF COURSE","", 47.567322,-122.306671
"3420","BEACON AVE S & JEFF COMM CENTER","", 47.569809,-122.307449
"3430","BEACON AVE S & S SPOKANE ST","", 47.572430,-122.308304
"3450","BEACON AVE S & S HANFORD ST","", 47.575359,-122.309204
"3460","BEACON AVE S & S STEVENS ST","", 47.577263,-122.310226
"3470","BEACON AVE S & S LANDER ST","", 47.579319,-122.312126
"3480","BEACON AVE S & 15TH AVE S","", 47.580532,-122.313248
