route_id,service_id,trip_id
"100205","GTFPathDay","21613183"
"100205","GTFPathDay","21613200"
"100202","GTFPathDay","21613201"
"100196","GTFPathDay","21613202"
"100196","GTFPathDay","21613203"
"100202","GTFPathDay","21613204"
"100126","GTFPathDay","21649834"
"102554","GTFPathDay","21649970"
"102554","GTFPathDay","21650110"
"102554","GTFPathDay","21650122"
"102552","GTFPathDay","21650156"
"102552","GTFPathDay","21650171"
"102552","GTFPathDay","21650206"
"102554","GTFPathDay","21649975"
"102554","GTFPathDay","21650019"
"102552","GTFPathDay","21650149"
"102552","GTFPathDay","21650175"
"100130","GTFPathDay","21649889"
"100128","GTFPathDay","21649635"
"100128","GTFPathDay","21649667"
"100130","GTFPathDay","21649858"
"100130","GTFPathDay","21649882"
"100136","GTFPathDay","21649605"
"100136","GTFPathDay","21649627"
"100136","GTFPathDay","21650326"
"100128","GTFPathDay","21649639"
"100128","GTFPathDay","21649663"
"100130","GTFPathDay","21649854"
"100130","GTFPathDay","21649886"
"100128","GTFPathDay","21649634"
"100128","GTFPathDay","21649666"
"100130","GTFPathDay","21649857"
"100130","GTFPathDay","21649881"
"100136","GTFPathDay","21649630"
"100136","GTFPathDay","21650329"
"100136","GTFPathDay","21650340"
"100136","GTFPathDay","21649601"
"100136","GTFPathDay","21649608"
"100136","GTFPathDay","21650325"
"100128","GTFPathDay","21649636"
"100128","GTFPathDay","21649668"
"100130","GTFPathDay","21649859"
"100130","GTFPathDay","21649883"
"100141","GTFPathDay","21650547"
"100162","GTFPathDay","21650562"
"100162","GTFPathDay","21650655"
"100137","GTFPathDay","21649930"
"100137","GTFPathDay","21649931"
"100137","GTFPathDay","21649934"
"100137","GTFPathDay","21649939"
"102552","GTFPathDay","21650207"
"100113","GTFPathDay","21649949"
"100113","GTFPathDay","21649988"
"100113","GTFPathDay","21649993"
"100113","GTFPathDay","21650010"
"100113","GTFPathDay","21649951"
"100113","GTFPathDay","21649985"
"100113","GTFPathDay","21649990"
"100162","GTFPathDay","21650568"
"100162","GTFPathDay","21650642"
"100103","GTFPathDay","21650837"
"100129","GTFPathDay","21649543"
"100124","GTFPathDay","21649546"
"100124","GTFPathDay","21649554"
"100124","GTFPathDay","21649556"
"100124","GTFPathDay","21649566"
"100160","GTFPathDay","21649569"
"100160","GTFPathDay","21649622"
"100162","GTFPathDay","21650668"
"100168","GTFPathDay","21649532"
"100162","GTFPathDay","21650598"
"100162","GTFPathDay","21650670"
"100113","GTFPathDay","21650008"
"100113","GTFPathDay","21649987"
"100113","GTFPathDay","21650014"
"100113","GTFPathDay","21650366"
"100156","GTFPathDay","21876003"
"100113","GTFPathDay","21649950"
"100113","GTFPathDay","21649989"
"100113","GTFPathDay","21650011"
"100136","GTFPathDay","21649629"
"100136","GTFPathDay","21650328"
"100136","GTFPathDay","21649607"
"100136","GTFPathDay","21650345"
"100136","GTFPathDay","21650380"
"100136","GTFPathDay","21649606"
"100136","GTFPathDay","21650347"
"100137","GTFPathDay","21649915"
"100137","GTFPathDay","21649924"
"100137","GTFPathDay","21649937"
"100137","GTFPathDay","21649941"
"100137","GTFPathDay","21649946"
"100493","GTFPathDay","21650223"
"100493","GTFPathDay","21650228"
"100493","GTFPathDay","21650229"
"100162","GTFPathDay","21650563"
"100162","GTFPathDay","21650622"
"100103","GTFPathDay","21650838"
"100137","GTFPathDay","21649916"
"100137","GTFPathDay","21649938"
"100137","GTFPathDay","21649940"
"100137","GTFPathDay","21649942"
"100092","GTFPathDay","21649349"
"100094","GTFPathDay","21649383"
"100095","GTFPathDay","21649518"
"100094","GTFPathDay","21649519"
"100094","GTFPathDay","21649520"
"100094","GTFPathDay","21649521"
"100095","GTFPathDay","21649522"
"100095","GTFPathDay","21649524"
"100091","GTFPathDay","21649470"
"100091","GTFPathDay","21649472"
"100091","GTFPathDay","21649474"
"100091","GTFPathDay","21649476"
"100091","GTFPathDay","21649492"
"100091","GTFPathDay","21649494"
"100091","GTFPathDay","21649496"
"100139","GTFPathDay","21649579"
"100139","GTFPathDay","21649837"
"100096","GTFPathDay","21649528"
"100141","GTFPathDay","21650358"
"100139","GTFPathDay","21650389"
"100092","GTFPathDay","21649350"
"100095","GTFPathDay","21649351"
"100094","GTFPathDay","21649364"
"100094","GTFPathDay","21649365"
"100094","GTFPathDay","21649366"
"100094","GTFPathDay","21649367"
"100094","GTFPathDay","21649380"
"100094","GTFPathDay","21649381"
"100094","GTFPathDay","21649382"
"100094","GTFPathDay","21649384"
"100095","GTFPathDay","21649385"
"100105","GTFPathDay","21649386"
"100100","GTFPathDay","21649448"
"100100","GTFPathDay","21649461"
"100100","GTFPathDay","21649462"
"100100","GTFPathDay","21649460"
"100160","GTFPathDay","21649564"
"100160","GTFPathDay","21649603"
"100160","GTFPathDay","21649604"
"100139","GTFPathDay","21649434"
"100139","GTFPathDay","21649573"
"100139","GTFPathDay","21649836"
"100091","GTFPathDay","21649469"
"100091","GTFPathDay","21649471"
"100091","GTFPathDay","21649473"
"100091","GTFPathDay","21649475"
"100091","GTFPathDay","21649493"
"100091","GTFPathDay","21649495"
"100091","GTFPathDay","21649513"
"100162","GTFPathDay","21650582"
"100139","GTFPathDay","21649425"
"100139","GTFPathDay","21649428"
"100139","GTFPathDay","21649574"
"100130","GTFPathDay","21649884"
"100448","GTFPathDay","21650233"
"100448","GTFPathDay","21650236"
"100448","GTFPathDay","21650239"
"100448","GTFPathDay","21650263"
"100448","GTFPathDay","21650266"
"100448","GTFPathDay","21650269"
"100128","GTFPathDay","21649633"
"100128","GTFPathDay","21649665"
"100130","GTFPathDay","21649856"
"100160","GTFPathDay","21650536"
"100162","GTFPathDay","21650611"
"100162","GTFPathDay","21650634"
"100156","GTFPathDay","21650549"
"100162","GTFPathDay","21650567"
"100162","GTFPathDay","21650561"
"100162","GTFPathDay","21650621"
"100127","GTFPathDay","21649703"
"100127","GTFPathDay","21649730"
"100127","GTFPathDay","21649758"
"100126","GTFPathDay","21649802"
"100126","GTFPathDay","21649821"
"100127","GTFPathDay","21649761"
"100126","GTFPathDay","21649774"
"100126","GTFPathDay","21649776"
"100127","GTFPathDay","21649708"
"100127","GTFPathDay","21649729"
"100126","GTFPathDay","21649796"
"100126","GTFPathDay","21649815"
"100127","GTFPathDay","21649704"
"100127","GTFPathDay","21649731"
"100126","GTFPathDay","21649763"
"100126","GTFPathDay","21649764"
"100127","GTFPathDay","21649725"
"100127","GTFPathDay","21649762"
"100126","GTFPathDay","21649785"
"100126","GTFPathDay","21649787"
"100127","GTFPathDay","21649705"
"100127","GTFPathDay","21649726"
"100126","GTFPathDay","21649795"
"100127","GTFPathDay","21649707"
"100127","GTFPathDay","21649728"
"100126","GTFPathDay","21649765"
"100126","GTFPathDay","21649786"
"100219","GTFPathDay","18151922"
"100263","GTFPathDay","20712045"
"100447","GTFPathDay","20712230"
"100447","GTFPathDay","20712306"
"100223","GTFPathDay","20712813"
"100223","GTFPathDay","20713185"
"100263","GTFPathDay","20713909"
"100219","GTFPathDay","18151768"
"100219","GTFPathDay","18151986"
"100173","GTFPathDay","18151557"
"100173","GTFPathDay","18151563"
