stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,geo_node_id,stop_code
386n0340,"Harlem Ave & 107th St",,41.6971501,-87.7976333,,13345,13345
386n0345,"Harlem Ave & 108th St",,41.695303,-87.797552,,13346,13346
386n0350,"Harlem Ave & 109th St",,41.6934993,-87.7974895,,13347,13347
386n0355,"Harlem Ave & 110th St",,41.6916613,-87.7974225,,13348,13348
386n0360,"Harlem Ave & 111th St",,41.6896266,-87.7973393,,13349,13349
386n0365,"Harlem Ave & 112th St",,41.6876814,-87.7972518,,13350,13350
386n0370,"Harlem Ave & 113th St",,41.686158,-87.7972081,,13351,13351
386n0375,"Harlem Ave & 114th St",,41.6843303,-87.7971435,,13352,13352
386n0380,"Harlem Ave & 115th St",,41.6825191,-87.7970471,,13353,13353
386n0385,"Harlem Ave & 116th St",,41.6807315,-87.7969743,,13354,13354
386n0390,"Harlem Ave & College Dr",,41.6751893,-87.7967596,,13355,13355
386n0395,"Harlem Ave & 120th St",,41.6734153,-87.7966753,,13356,13356
386n0400,"Harlem Ave & 121st St",,41.6719458,-87.7966254,,13357,13357
386n0405,"Harlem Ave & 122nd St",,41.6697376,-87.7965366,,13358,13358
386n0410,"Harlem Ave & 123rd St",,41.6678748,-87.7964638,,13359,13359
386n0415,"Harlem Ave & 124th St",,41.6660734,-87.7963876,,13360,13360
386n0420,"Harlem Ave & 125th St",,41.6642726,-87.7963213,,13361,13361
386n0425,"Harlem Ave & 126th St",,41.662765,-87.7962916,,13362,13362
386n0430,"Harlem Ave & 127th St",,41.661265,-87.79622,,13363,13363
386n0435,"Harlem Ave & Ishnala Dr",,41.6578785,-87.796068,,13364,13364
386n0440,"Harlem Ave & 130th St",,41.6554503,-87.7959688,,13365,13365
386n0445,"Harlem Ave & 131st St",,41.6533893,-87.7959496,,13366,13366
386n0505,"La Grange Rd & 131st St",,41.6527136,-87.8538713,,13378,13378
386n0510,"La Grange Rd & Southmoor Dr",,41.6505601,-87.8538058,,13379,13379
386n0515,"La Grange Rd & 135th St",,41.6458466,-87.8536623,,13380,13380
386n0520,"La Grange Rd & 143rd St",,41.6315706,-87.8537108,,13381,13381
386n0523,"La Grange Rd & 144th Pl",,41.6281388,-87.8536621,,13382,13382
386n0525,"La Grange Rd & 147th St",,41.6238935,-87.8535516,,13383,13383
386n0530,"La Grange Rd & 149th St",,41.6201213,-87.853413,,13384,13384
386n0532,"151st St & La Grange Rd",,41.6160635,-87.8529849,,33789,33789
386n0533,"151st St & 94th Ave",,41.6161291,-87.8490246,,33790,33790
386n0630,"Harlem Ave & 135th St",,41.6460423,-87.7956011,,33706,33706
386n0635,"Harlem Ave & 143rd St",,41.6314113,-87.7950523,,33707,33707
386n0640,"Harlem Ave & 151st St",,41.6169074,-87.7945251,,33708,33708
386n0645,"Harlem Ave & 152nd St",,41.6150086,-87.7944518,,33709,33709
386n0650,"Harlem Ave & 153rd St",,41.6132973,-87.7944054,,33710,33710
386n0655,"Harlem Ave & 154th St",,41.6113296,-87.7943486,,33711,33711
386n0660,"Harlem Ave & Wheeler Dr",,41.6094698,-87.7942661,,33712,33712
386n0665,"Harlem Ave & 156th St",,41.6071208,-87.7941481,,33713,33713
386n0670,"Harlem Ave & 157th St",,41.6057663,-87.7941041,,33714,33714
386n0675,"Harlem Ave & 158th St",,41.6040663,-87.7940496,,33715,33715
386n0680,"Harlem Ave & 159th St",,41.6020351,-87.7939768,,33716,33716
386n0682,"North Creek Dr. & 183rd St.",,41.5581933,-87.7961066,,35453,35453
386n0683,"North Creek & Maple Creek Dr  (N)",,41.5571256,-87.7960853,,36256,36256
386n0684,"North Creek & Spring Creek Dr",,41.5556868,-87.7957323,,36257,36257
386n0685,"North Creek Dr. & Maple Creek Dr. (S)",,41.5545886,-87.7953835,,35454,35454
386n0695,"West Creek Dr. & Spring Creek Dr",,41.5530466,-87.797296,,35456,35456
386s0020,"63rd & Latrobe Ave",,41.7782804,-87.7530396,,13389,13389
386s0040,"63rd & Central Ave",,41.7781331,-87.7613721,,13393,13393
386s0055,"63rd & Austin Ave",,41.7779396,-87.7712034,,13397,13397
386s0065,"63rd & Narragansett Ave / Armon Schmidt Rd",,41.7777498,-87.7815963,,13401,13401
386s0085,"63rd & Oak Park Ave",,41.7776181,-87.7908141,,13405,13405
386s0105,"Harlem Ave & 63rd StF12:M12",,41.7766338,-87.8010476,,13409,13409
386s0110,"Harlem Ave & 65th St",,41.7744948,-87.802696,,13410,13410
386s0115,"6955 Harlem Ave",,41.7658231,-87.8013043,,13411,13411
386s0120,"Harlem Ave & 71st St",,41.7623476,-87.8003571,,13412,13412
386s0125,"Harlem Ave & 71st Pl",,41.7610155,-87.8003078,,13413,13413
386s0130,"Harlem Ave & 73rd St",,41.7591861,-87.8002333,,13414,13414
386s0135,"Harlem Ave & 74th St",,41.7573738,-87.8001686,,13415,13415
386s0140,"Harlem Ave & 75th St",,41.7555398,-87.8000913,,13416,13416
386s0145,"Harlem Ave & 76th St",,41.7537051,-87.8000248,,13417,13417
386s0150,"Harlem Ave & 77th St",,41.7518671,-87.7999641,,13418,13418
386s0155,"Harlem Ave & 78th St",,41.7497889,-87.7999343,,13419,13419
386s0160,"Harlem Ave & 79th St",,41.7475933,-87.799877,,13420,13420
386s0165,"Harlem Ave & 80th St",,41.7464458,-87.7997636,,13421,13421
386s0170,"Harlem Ave & 81st St",,41.7446266,-87.7996433,,13422,13422
386s0175,"Harlem Ave & 82nd St",,41.7427799,-87.7995585,,13423,13423
386s0180,"Harlem Ave & 83rd St",,41.7410054,-87.7995011,,13424,13424
386s0185,"Harlem Ave & 84th St",,41.7391933,-87.7994193,,13425,13425
386s0190,"Harlem Ave & 85th St",,41.7368813,-87.7993293,,13426,13426
386s0195,"Harlem Ave & 86th St",,41.7354673,-87.7992771,,13427,13427
386s0200,"Harlem Ave & 87th St",,41.7338698,-87.7992341,,13428,13428
386s0205,"Southfield Plaza / 8761 Harlem Ave",,41.7313071,-87.7991248,,13429,13429
386s0210,"Harlem Ave & Hartford St",,41.7296488,-87.7990503,,13430,13430
386s0215,"Harlem Ave & Hanover St",,41.7290243,-87.7990404,,13431,13431
386s0220,"Harlem Ave & 90th St / Cambridge St",,41.7282273,-87.7989913,,13432,13432
386s0223,"Harlem Ave & 90th Pl",,41.7272866,-87.7989788,,24004,24004
386s0225,"Harlem Ave & 91st St",,41.7264558,-87.7989328,,13433,13433
386s0230,"Harlem Ave & 92nd St / Southfield Dr",,41.7245226,-87.7988675,,13434,13434
386s0236,"Harlem Ave & 92nd Pl / Stanford Dr",,41.7236431,-87.7988521,,24005,24005
386s0290,"Harlem Ave & Frontage Rd",,41.7137396,-87.7985243,,13444,13444
386s0295,"Harlem Ave & 99th St",,41.7120356,-87.7984303,,13445,13445
386s0300,"Harlem Ave & 100th Pl",,41.7095358,-87.7983351,,13446,13446
386s0305,"100th Pl & Industrial Dr",,41.7092333,-87.8026421,,13447,13447
386s0310,"76th Ave & 100th Pl",,41.7091388,-87.8075196,,13448,13448
386s0315,"76th Ave & Claridge Dr",,41.7058413,-87.8084096,,13449,13449
386s0319,"103rd St & 75th Ct",,41.7041718,-87.8068338,,13450,13450
